text,date,source,brand,sentiment,compound_score
"Parfum is the best fragrance, along with Elixir, but the most versatile is EDP",2025-10-10,YouTube,Dior Sauvage,positive,0.3818
"i had all many times, but EDT is the one",2026-04-06,YouTube,Dior Sauvage,neutral,0.0
Parfum is my favorite!!,2025-10-09,YouTube,Dior Sauvage,positive,0.555
Sauvage Elixir is my favorite🔥 Thanks Ash!,2025-10-09,YouTube,Dior Sauvage,positive,0.5848
EDP and Parfum for me,2025-10-09,YouTube,Dior Sauvage,neutral,0.0
"EDT, EDP, Parfum, Elixir, you just can’t go wrong with any of these 💯🔥",2025-10-09,YouTube,Dior Sauvage,negative,-0.6705
Been waiting for this video. The knowledge is crazy,2025-10-09,YouTube,Dior Sauvage,negative,-0.34
EDP best one for me🔝,2025-10-09,YouTube,Dior Sauvage,positive,0.7739
"SAUVAGE ELIXIR IS FIRE 🔥🥵 
#1 CHOICE",2025-10-09,YouTube,Dior Sauvage,negative,-0.6739
I love sauvage edt its a very soft fresh fragrance. Perfect for any occasion i cant get enough of the smell.,2026-05-31,YouTube,Dior Sauvage,positive,0.888
sauvage parfum was my second ever fragrance and what started my interest and collection for fragrances,2025-10-09,YouTube,Dior Sauvage,positive,0.4588
Edp and elixir! Great combo to have.,2025-10-09,YouTube,Dior Sauvage,positive,0.6588
Gisada is 🔥 it smells like a blend of erba pura and sauvage,2025-10-10,YouTube,Dior Sauvage,neutral,0.0258
best sauvage guide I've seen so far,2025-10-16,YouTube,Dior Sauvage,positive,0.6369
"This influencer is great!
I went with edp..non stop compliments!
It has ""it""",2026-03-12,YouTube,Dior Sauvage,positive,0.7339
"Dior sauvage parfum is my absolute favorite from the line it's smells just like the EDT but smoother , smoky and creamy",2025-11-29,YouTube,Dior Sauvage,positive,0.4118
parfum and elixer ! cant go wrong,2026-01-26,YouTube,Dior Sauvage,positive,0.4303
Elixir is one of my all time favourite fragrances,2025-10-10,YouTube,Dior Sauvage,neutral,0.0
I hit my tshirt with Elixir when I first got it. Wore it for a day and night. Tossed it in the laundry basket. Washed and dried it a few days later. Came out of the dryer smelling just as strong as before I washed it. That stuff is thick.,2025-10-09,YouTube,Dior Sauvage,positive,0.5106
I have the EDT and Elixir. Got many compliments from both but most from the elixir. Love that stuff.,2025-10-11,YouTube,Dior Sauvage,positive,0.8248
"I finished the EDT years ago, I'll probably be getting the Parfum and Elixir version",2025-10-13,YouTube,Dior Sauvage,neutral,0.0
"I wanted to not like this fragrance line due to so much marketing and so many people using it (apparently) but oh my goodness is the hype real. I tried the EDP Elixir and EDT and they all smelled absolutely incredible. Masculine, fresh…just amazing on my skin overall",2025-12-13,YouTube,Dior Sauvage,positive,0.8762
Ash gpt and I’m here for it. Our fregrance guru is entertaining us smelly water addicts yet again ! ❤,2025-10-09,YouTube,Dior Sauvage,positive,0.8122
"I wear sauvage elixer everyday because i can and i will
😂",2025-10-10,YouTube,Dior Sauvage,positive,0.4404
For the first year or so after the edt came out it was nuclear before it got reformulated. Unreal compliments. You had to be there.,2025-10-11,YouTube,Dior Sauvage,positive,0.4019
The Parfum has grown on me immensely.  I like that one the most now.,2025-10-09,YouTube,Dior Sauvage,positive,0.3612
"You can't go wrong with either. Got all of em, one for every occasion.❤",2025-10-10,YouTube,Dior Sauvage,positive,0.7753
Elixir is the best in the lineup. And Dior solidified that thrown by having Capt Johnny Depp sit at the mantle 💪🎉,2025-10-09,YouTube,Dior Sauvage,positive,0.7845
Suavage EDT 2025 reformulated version and Dior Elixir are the best,2026-02-15,YouTube,Dior Sauvage,positive,0.6369
"I’m an EDP guy, but I’m looking to buy Elixir sometime. 

Parfum would be my other choice.",2025-10-10,YouTube,Dior Sauvage,neutral,0.0
For me  *E D T*  - the absolutely Icon of Sauvage.,2026-04-25,YouTube,Dior Sauvage,neutral,0.0
I love the EDP for more daily wear year around and the Elixir for fall/winter and more special occasions. I still love the EDT for high heat summer.,2025-10-10,YouTube,Dior Sauvage,positive,0.908
"Sauvage Elixir is my number one pick for the fall & winter. I love the way it smells on me the day after too, not many fragrances out there that I can say that about.",2025-12-23,YouTube,Dior Sauvage,positive,0.6705
The Dua Brand just dropped an inspiration of Eau Forte called Savage Water 🤘,2025-10-09,YouTube,Dior Sauvage,positive,0.1027
Two uploads in a day is crazy,2025-10-09,YouTube,Dior Sauvage,negative,-0.34
"More videos like this, great video Ash",2025-10-09,YouTube,Dior Sauvage,positive,0.825
"I always use the EDT as everyone seems to like it on me.

Very versatile.

I like the fact that most are using the EDP now rather then the EDT.

In my opinion that makes it more unique as I'm now one of the very few wearing the original.

Luna rossa carbon from Prada, 
I once bought in the duty free, but when I checked in Sephora stores in Paris, France they said it's discontinued.",2025-10-14,YouTube,Dior Sauvage,positive,0.6632
"I love Sauvage. It's my go to winter fragrance.  But all the variants, I need to know them apart.",2025-12-13,YouTube,Dior Sauvage,positive,0.3818
"Ash you should do a video based on the fragrances that led to the creation of Sauvage Elixir.. like which fragrances from the 80s? and the 90s? Played a part in creating the OG.. that would be an interesting watch and I’d like to know myself actually, I own a bottle of the original and now I’m going crazy with the clones and inspired versions",2025-10-13,YouTube,Dior Sauvage,positive,0.9419
"For me Sauvage Parfum is absolutely superior.
Great scent and the top 5 Dior men's fragrance for me",2025-10-09,YouTube,Dior Sauvage,positive,0.8742
Long Awaited video... Thanks a lot.,2025-10-09,YouTube,Dior Sauvage,positive,0.4215
Finally. A quality video.,2025-10-10,YouTube,Dior Sauvage,neutral,0.0
DOUBLE UPLOAD WOOOOO!!!,2025-10-09,YouTube,Dior Sauvage,neutral,0.0
"Great video,  thanks",2026-06-04,YouTube,Dior Sauvage,positive,0.7906
"I’ve bought property on Sauvage Eau Forte island. 
I love it. Works great off my skin. Second favorite behind Elixir",2025-10-10,YouTube,Dior Sauvage,positive,0.9062
"Before watching the video, ive been a fairly big cologne guy. I have always HATED sauvage from the beginning. Ive gone back to it multiple times trying to retrain my brain to like it, no go. With that being said i made my most recent attempt to like it again in hopes of having a preference change towards the edp or the elixir, i walked away almost needing to have the parfum. If you havent tried it, it is one of the best sauvages that never gets mentioned.",2025-10-09,YouTube,Dior Sauvage,positive,0.595
They all rock and have their place on my shelf,2025-10-10,YouTube,Dior Sauvage,neutral,0.0
Edt still gets compliments.,2025-10-09,YouTube,Dior Sauvage,positive,0.4019
Very Cool Spray was the best for me,2025-10-09,YouTube,Dior Sauvage,positive,0.7778
Best fragance influencer by far,2025-10-09,YouTube,Dior Sauvage,positive,0.6369
"Thanks Ash. For me edp and Elixir work the best as well.
Enjoyed the video. Maybe do a similar one for Dior Homme and Dior Homme Parfum?",2025-10-09,YouTube,Dior Sauvage,positive,0.91
"Great video, edp is the one",2026-03-09,YouTube,Dior Sauvage,positive,0.6249
the difference from the parfum to the elixir is insane,2026-05-01,YouTube,Dior Sauvage,negative,-0.4019
Great video and I enjoyed it and my favorite one from the line is elixir and have a blessed day,2025-10-09,YouTube,Dior Sauvage,positive,0.936
Thanks Ash!,2025-10-12,YouTube,Dior Sauvage,positive,0.4926
I saw a bottle of Dior Sauvage EDT at Bealls just last week! 😅 I was surprised,2025-10-10,YouTube,Dior Sauvage,positive,0.5707
"I've had edp, parfum but my 2017 edt is my keeper.",2025-10-09,YouTube,Dior Sauvage,neutral,0.0
I have the edt and it's really nice,2025-10-10,YouTube,Dior Sauvage,positive,0.4754
Thanks!,2025-10-16,YouTube,Dior Sauvage,positive,0.4926
Best bit of advice I would give here. Get sauvage EDT it's the cheapest and definitely most versatile can be worn literally everywhere. And projects very loud after a few sprays.,2025-10-11,YouTube,Dior Sauvage,positive,0.6908
"Got my 200ml bottle EDT with 100€ in duty free , a great fragrance !",2025-10-11,YouTube,Dior Sauvage,positive,0.8268
Elixir & EDP are my favorite,2025-10-10,YouTube,Dior Sauvage,positive,0.4588
"Everyone knows elixer is strong. But it’s a 2 spray max for real, I usually spray 6-8 other scents. 2 sprays and you’ll still be picked out in a social gathering from 10 feet away",2025-10-10,YouTube,Dior Sauvage,positive,0.2846
"I agree with orhers, the edp is best of all",2025-10-30,YouTube,Dior Sauvage,positive,0.7717
"Parfum is my fave. I wear it at all ,  work , casual",2025-10-12,YouTube,Dior Sauvage,positive,0.5719
EDP is the absolute best,2025-10-14,YouTube,Dior Sauvage,positive,0.6369
Just baught new edt today. Reformulated version. Very nice,2026-03-03,YouTube,Dior Sauvage,positive,0.4754
"I actually like the Eau Forte, clean, fresh and impossible to overspray, I have the EDP too and even 2 sprays are waaay too much to wear in the office",2025-10-10,YouTube,Dior Sauvage,positive,0.7579
"People say the NPC's fragrance but, this still my fav❤",2025-10-10,YouTube,Dior Sauvage,positive,0.8957
"Although I think the EDP is slightly more likeable along with Parfum, EDT was ok too, for me the best is the Elixir. It's so strong that it's actually cheap in terms of price per spray needed. And it's not the mass appealing but generic bunch that you get from the other three. I like Elixir for my winter night outs, especially if I just sit by some heating device outside . The milky atrocity Eau Forte is the worst, lol. Btw Prada Carbon , I like it but it's not appreciated that much in my office. So I wouldn't say the Sauvage DNA is that great to put it above the more interesting heavy, strong elixir.",2025-10-09,YouTube,Dior Sauvage,positive,0.9729
Here from Mr wrights class! 👏🏼👏🏼,2025-10-09,YouTube,Dior Sauvage,neutral,0.0
Great review and breakdown and have they changed the Formal for the EDT yet? Or will that happen sometime in 2026,2025-10-20,YouTube,Dior Sauvage,positive,0.6249
Father of sauvage is Elixir best beast monster n compliment getter❤❤❤🎉,2025-10-09,YouTube,Dior Sauvage,positive,0.9738
"I don't have the OG, but I do have Urban man elixir, and also used hunter intense in the past... The hunter intense was my number one most complimented of the summer 2024, and just got urban man Elixir last month... You personally I'm not a big fan of the sauvage style but everybody around me loves it on me so I use it from time to time and as a work fragrance cuz I work in a amazon warehouse where it's above 90° year round, there for, I can use it year round. 😎✌️",2025-10-10,YouTube,Dior Sauvage,positive,0.9446
Parfum for me by far but I do like elixir as well,2025-10-09,YouTube,Dior Sauvage,positive,0.7096
"First time I smelled sausage edt I thought I had a bad batch, definitely didn't think it lived up to all the hype. But after some time the freshness and sophistication grew on me and now it's one of my favourites",2025-10-09,YouTube,Dior Sauvage,negative,-0.1027
"I’m fortunate to have all Sauvage blends except for Eau Forte.  Out of all, I think the EDP is the most fitting for any setting. Don’t wear EDT to office, I was sent home for doing that 😂.",2025-10-11,YouTube,Dior Sauvage,positive,0.7003
"I personally love EDT the most which is kind of odd to say. Prada LRC is a safer office scent. But if I want to have a big scent bubble, DS EDT will not disappoint.",2025-10-12,YouTube,Dior Sauvage,positive,0.7219
I’m in love with Parfum,2025-10-11,YouTube,Dior Sauvage,positive,0.6369
Designer version of Eau Forte is Eilish 2. It’s 80% the same. I actually sell Dior and some say it smells like their rib rub or a Middle Eastern Market,2025-10-10,YouTube,Dior Sauvage,positive,0.3612
"Just got a 2025 batch of elixer, less spicey and more airy deffo reformulated but still lovely and worth buying in my opinion.",2025-11-26,YouTube,Dior Sauvage,positive,0.8201
I love Sauvage I have the new ones from this year they have reformulated it and weaken it at least for the edt and EDP I can't say for the parfum because I still have a older bottle,2025-10-10,YouTube,Dior Sauvage,positive,0.34
Elixir and I have the original edt from 2016 batch👍,2025-11-10,YouTube,Dior Sauvage,positive,0.3182
EDP for me! 💯,2025-10-13,YouTube,Dior Sauvage,neutral,0.0
"Hey friends 🤣
I have edt edp parfum and elixir. And the edt gives me most compliments every time. 🤷🏻‍♂️",2025-10-09,YouTube,Dior Sauvage,positive,0.8516
